City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
407,Aksu,CN,41.1231,80.2644,103.78,10,10,3.74,clear sky
408,Aloleng,PH,16.1307,119.7824,81.72,86,100,15.05,overcast clouds
409,Hlatikulu,SZ,-26.9667,31.3167,70.93,13,0,8.34,clear sky
410,Carbonear,CA,47.7332,-53.2148,64.6,92,100,8.63,overcast clouds
411,Atlixco,MX,18.9082,-98.4361,57.96,89,77,6.4,broken clouds
412,Kavaratti,IN,10.5669,72.642,82.63,79,100,15.66,overcast clouds
413,Ternate,ID,0.8,127.4,82.31,80,94,6.35,overcast clouds
414,Maicao,CO,11.3832,-72.2432,78.3,83,53,9.84,broken clouds
415,Acarau,BR,-2.8856,-40.12,79.95,79,16,12.8,few clouds
416,Malindi,KE,-3.2175,40.1191,80.76,74,75,19.57,broken clouds
417,Tabuk,PH,17.4189,121.4443,77.63,91,100,2.77,overcast clouds
418,Mendoza,AR,-32.8908,-68.8272,29.73,69,0,3.44,clear sky
419,Antofagasta,CL,-23.65,-70.4,62.22,60,7,5.66,clear sky
420,Inongo,CD,-1.95,18.2667,72.05,35,54,2.19,broken clouds
421,Bardiyah,LY,31.7561,25.0865,90.23,42,0,17.76,clear sky
422,Vanavara,RU,60.34,102.2797,78.62,55,100,11.1,light rain
423,Kjollefjord,NO,70.9457,27.3465,47.98,81,99,9.62,overcast clouds
424,Zhuhai,CN,22.2769,113.5678,88.05,84,20,5.75,moderate rain
425,Colombo,LK,6.9319,79.8478,85.95,76,83,12.37,broken clouds
426,Pentecoste,BR,-3.7928,-39.2703,79.68,69,30,6.98,scattered clouds
427,Severo-Yeniseyskiy,RU,60.3725,93.0408,52.52,95,100,4.56,overcast clouds
428,San Vicente,AR,-26.6167,-54.1333,28.94,89,5,2.13,clear sky
429,Yarmouth,US,41.7057,-70.2286,67.96,91,1,1.01,clear sky
430,Sao Filipe,CV,14.8961,-24.4956,74.35,77,43,5.66,scattered clouds
431,Nicoya,CR,10.1483,-85.452,73.35,94,88,2.21,overcast clouds
432,Tomohon,ID,1.3346,124.8392,70.74,92,44,2.53,scattered clouds
433,Tres Arroyos,AR,-38.3739,-60.2798,35.49,65,5,8.72,clear sky
434,Werda,BW,-25.2667,23.2833,71.42,18,0,4.47,clear sky
435,Fare,PF,-16.7,-151.0167,77.99,76,58,9.44,light rain
436,Entre Rios,BR,-11.9419,-38.0844,71.71,91,27,3.13,scattered clouds
437,Lewistown,US,40.5992,-77.5714,68.9,92,1,0.0,clear sky
